explorerTitle	Count - Question: 
selection	World

graphers
	question Dropdown	answer Dropdown	gender Dropdown	age_group Dropdown	yVariableIds	hasMapTab
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Somewhat disagree	all	Don't know/Refused	682715	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Somewhat disagree	all	all	682716	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Somewhat disagree	female	15-29	682719	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Somewhat disagree	female	30-49	682721	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Somewhat disagree	female	50-64	682723	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Somewhat disagree	female	65+	682725	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Somewhat disagree	female	Don't know/Refused	682727	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Somewhat disagree	female	all	682729	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Somewhat disagree	male	15-29	682731	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Somewhat disagree	male	30-49	682733	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Somewhat disagree	male	50-64	682735	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Somewhat disagree	male	65+	682737	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Somewhat disagree	male	Don't know/Refused	682739	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Somewhat disagree	male	all	682741	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Strongly agree	all	15-29	682743	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Strongly agree	all	30-49	682745	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Strongly agree	all	50-64	682747	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Strongly agree	all	65+	682748	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Strongly agree	all	Don't know/Refused	682751	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Strongly agree	all	all	682753	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Strongly agree	female	15-29	682756	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Strongly agree	female	30-49	682757	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Strongly agree	female	50-64	682759	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Strongly agree	female	65+	682760	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Strongly agree	female	Don't know/Refused	682763	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Strongly agree	female	all	682765	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Strongly agree	male	15-29	682767	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Strongly agree	male	30-49	682769	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Strongly agree	male	50-64	682771	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Strongly agree	male	65+	682773	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Strongly agree	male	Don't know/Refused	682775	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Strongly agree	male	all	682777	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Strongly disagree	all	15-29	682778	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Strongly disagree	all	30-49	682780	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Strongly disagree	all	50-64	682783	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Strongly disagree	all	65+	682785	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Strongly disagree	all	Don't know/Refused	682788	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Strongly disagree	all	all	682789	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Strongly disagree	female	15-29	682791	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Strongly disagree	female	30-49	682793	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Strongly disagree	female	50-64	682795	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Strongly disagree	female	65+	682797	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Strongly disagree	female	Don't know/Refused	682799	true
	w15_2a - After the COVID crisis ends, your government should spend money to help other countries prevent and cure diseases wherever they occur	Strongly disagree	female	all	682801	true
